year,type,topic,cite_key,title,venue,url,first_citation_location
2024,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,chalapathi2024scaling,Scaling physics-informed hard constraints with mixture-of-experts,The Twelfth International Conference on Learning Representations,https://openreview.net/forum?id=u3dX2CEIZb,Sections/Part1.tex:165
2024,Constrained generative models,Constrained generative models: guided generation and correction,christopher2024constrained,Constrained Synthesis with Projected Diffusion Models,The Thirty-eighth Annual Conference on Neural Information Processing Systems,,Sections/Part2.tex:174
2024,Constrained generative models,Constrained generative models: feasible-set parameterization,feng2024neural,Neural Approximate Mirror Maps for Constrained Diffusion Models,arXiv preprint arXiv:2406.12816,https://arxiv.org/pdf/2406.12816,Sections/Part2.tex:152
2024,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,gallego2024constrained,Constrained optimization for machine learning: algorithms and applications,PhD thesis,https://hdl.handle.net/1866/33886,Sections/Part1.tex:101
2024,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,elenter2024near,Near-Optimal Solutions of Constrained Learning Problems,The Twelfth International Conference on Learning Representations,https://openreview.net/forum?id=fDaLmkdSKU,Sections/Part1.tex:103
2024,Constrained generative models,Constrained generative models: training and fine-tuning,khalafi2024constrained,Constrained diffusion models via dual training,Advances in Neural Information Processing Systems,,Sections/Part2.tex:207
2024,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,klamkin2024dual,Dual interior point optimization learning,arXiv preprint arXiv:2402.02596,https://arxiv.org/pdf/2402.02596,Sections/Part1.tex:176
2024,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,konstantinov2024imposing,Imposing Star-Shaped Hard Constraints on the Neural Network Output,Mathematics,,Sections/4.Discussion.tex:27
2024,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,kotary2024learning,Learning constrained optimization with deep augmented lagrangian methods,arXiv preprint arXiv:2403.03454,https://arxiv.org/pdf/2403.03454,Sections/Part1.tex:105
2024,Hard-constrained prediction,Hard-constrained prediction: post-processing and projection,liang2024hp,Homeomorphic projection to ensure neural-network solution feasibility for constrained optimization,Journal of Machine Learning Research,,Sections/4.Discussion.tex:13
2024,Constrained generative models,Constrained generative models: feasible-set parameterization,liu2024mirror,Mirror diffusion models for constrained and watermarked generation,Advances in Neural Information Processing Systems,,Sections/Part2.tex:152
2024,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,park2024self,Self-supervised learning for large-scale preventive security constrained dc optimal power flow,IEEE Transactions on Power Systems,,Sections/Part1.tex:105
2024,Hard-constrained prediction,Hard-constrained prediction: post-processing and projection,sambharya2024learning,Learning to warm-start fixed-point optimization algorithms,Journal of Machine Learning Research,,Sections/4.Discussion.tex:24
2024,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,tang2024learning,Learning to optimize for mixed-integer non-linear programming with feasibility guarantees,arXiv preprint arXiv:2410.11061,https://arxiv.org/pdf/2410.11061,Sections/Part1.tex:165
2024,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,tanneau2024dual,Dual lagrangian learning for conic optimization,Advances in Neural Information Processing Systems,,Sections/4.Discussion.tex:27
2024,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,tao2024provable,Provable Editing of Deep Neural Networks using Parametric Linear Relaxation,Advances in Neural Information Processing Systems,,Sections/Part1.tex:52
2024,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,zeng2024glinsat,GLinSAT: The general linear satisfiability neural network layer by accelerated gradient descent,Advances in Neural Information Processing Systems,,Sections/Part1.tex:165
2024,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,zeng2024qcqp,QCQP-Net: Reliably Learning Feasible Alternating Current Optimal Power Flow Solutions Under Constraints,arXiv preprint arXiv:2401.06820,https://arxiv.org/pdf/2401.06820,Sections/Part1.tex:163
2025,Application methods,Applications: optimal power flow and power systems,hoseinpour2025constrained,Constrained diffusion models for synthesizing representative power flow datasets,arXiv preprint arXiv:2506.11281,https://arxiv.org/pdf/2506.11281,Sections/3.Application.tex:32
2025,Application methods,Applications: optimal power flow and power systems,hoseinpour2025diffopf,DiffOPF: Diffusion Solver for Optimal Power Flow,arXiv preprint arXiv:2510.14075,https://arxiv.org/pdf/2510.14075,Sections/3.Application.tex:32
2025,Application methods,Applications: optimal power flow and power systems,li5854385towards,Towards Trustworthy Learning for Optimal Power Flow: A Physics-informed Diffusion Model,Available at SSRN 5854385,https://ssrn.com/abstract=5854385,Sections/3.Application.tex:32
2025,Application methods,Applications: optimal power flow and power systems,liang2025chanceopf,Solving Chance-Constrained AC-OPF Problem by Neural Network with Bisection-based Projection,The 16th ACM International Conference on Future and Sustainable Energy Systems,https://doi.org/10.1145/3679240.3734656,Sections/3.Application.tex:21
2025,Application methods,Applications: trajectory optimization and safe control,jung2025joint,Joint Model-based Model-free Diffusion for Planning with Constraints,arXiv preprint arXiv:2509.08775,https://arxiv.org/pdf/2509.08775,Sections/3.Application.tex:43
2025,Constrained generative models,Constrained generative models: training and fine-tuning,khalafi2025composition,Composition and alignment of diffusion models using constrained learning,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://proceedings.neurips.cc/paper_files/paper/2025/file/1af991de2d4c4e679bcc5d9e23ac6bae-Paper-Conference.pdf,Sections/Part2.tex:130
2025,Application methods,Applications: trajectory optimization and safe control,kurtz2025equality,Equality constrained diffusion for direct trajectory optimization,2025 American Control Conference (ACC),,Sections/3.Application.tex:43
2025,Application methods,Applications: trajectory optimization and safe control,li2025aligning,Aligning diffusion model with problem constraints for trajectory optimization,arXiv preprint arXiv:2504.00342,https://arxiv.org/pdf/2504.00342,Sections/3.Application.tex:43
2024,Application methods,Applications: trajectory optimization and safe control,liang2024multiagent,Multi-Agent Path Finding in Continuous Spaces with Projected Diffusion Models,arXiv preprint arXiv:2412.17993,https://arxiv.org/pdf/2412.17993,Sections/3.Application.tex:27
2025,Application methods,Applications: trajectory optimization and safe control,liang2025simultaneous,Simultaneous multi-robot motion planning with projected diffusion models,arXiv preprint arXiv:2502.03607,https://arxiv.org/pdf/2502.03607,Sections/3.Application.tex:43
2025,Application methods,Applications: physics-constrained learning and generation,zeni2025generative,A generative model for inorganic materials design,Nature,,Sections/3.Application.tex:68
2025,Application methods,Applications: trajectory optimization and safe control,zhang2025constrained,Constrained diffusers for safe planning and control,arXiv preprint arXiv:2506.12544,https://arxiv.org/pdf/2506.12544,Sections/3.Application.tex:43
2025,Constrained generative models,Constrained generative models: push-forward and explicit sample maps,frans2025one,One Step Diffusion via Shortcut Models,The Thirteenth International Conference on Learning Representations,https://openreview.net/forum?id=OlzB6LnXcS,Sections/Part2.tex:38
2025,Constrained generative models,Constrained generative models: push-forward and explicit sample maps,geng2025mean,Mean Flows for One-step Generative Modeling,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=uWj4s7rMnR,Sections/Part2.tex:38
2025,Constrained generative models,Constrained generative models: guided generation and correction,graikos2025fast,Fast constrained sampling in pre-trained diffusion models,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=3kVM0m60Q5,Sections/Part2.tex:156
2025,Constrained generative models,Constrained generative models: guided generation and correction,jayaram2025linearly,Linearly Constrained Diffusion Implicit Models,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=TYGDG9zEML,Sections/Part2.tex:156
2025,Constrained generative models,Constrained generative models: guided generation and correction,jeon2025fast,Fast Non-Log-Concave Sampling under Nonconvex Equality and Inequality Constraints with Landing,arXiv preprint arXiv:2510.22044,https://arxiv.org/pdf/2510.22044,Sections/Part2.tex:156
2025,Constrained generative models,Constrained generative models: guided generation and correction,lee2025local,Local Manifold Approximation and Projection for Manifold-Aware Diffusion Planning,Forty-second International Conference on Machine Learning,https://openreview.net/forum?id=EHG5Iv1mmb,Sections/Part2.tex:109
2025,Constrained generative models,Constrained generative models: guided generation and correction,li2025hardflow,HardFlow: Hard-Constrained Sampling for Flow-Matching Models via Trajectory Optimization,arXiv preprint arXiv:2511.08425,https://arxiv.org/pdf/2511.08425,Sections/4.Discussion.tex:30
2025,Constrained generative models,Constrained generative models: guided generation and correction,ma2025constraint,Constraint-Aware Diffusion Guidance for Robotics: Real-Time Obstacle Avoidance for Autonomous Racing,arXiv preprint arXiv:2505.13131,https://arxiv.org/pdf/2505.13131,Sections/3.Application.tex:43
2025,Constrained generative models,Constrained generative models: guided generation and correction,narasimhan2025constrained,Constrained Posterior Sampling: Time Series Generation with Hard Constraints,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://proceedings.neurips.cc/paper_files/paper/2025/file/9b01c4a7d3fc49875dad3c13848bcd9e-Paper-Conference.pdf,Sections/Part2.tex:115
2025,Constrained generative models,Constrained generative models: guided generation and correction,christopher2025constrained,Constrained Diffusion for Protein Design with Hard Structural Constraints,arXiv preprint arXiv:2510.14989,https://arxiv.org/pdf/2510.14989,Sections/Part2.tex:109
2025,Constrained generative models,Constrained generative models: training and fine-tuning,smith2025calibrating,Calibrating Generative Models,arXiv preprint arXiv:2510.10020,https://arxiv.org/pdf/2510.10020,Sections/Part2.tex:160
2025,Constrained generative models,Constrained generative models: training and fine-tuning,tauberschmidt2025physics,Physics-Constrained Fine-Tuning of Flow-Matching Models for Generation and Inverse Problems,arXiv preprint arXiv:2508.09156,https://arxiv.org/pdf/2508.09156,Sections/3.Application.tex:43
2025,Constrained generative models,Constrained generative models: guided generation and correction,yeom2025softly,Softly Constrained Denoisers for Diffusion Models,arXiv preprint arXiv:2512.14980,https://arxiv.org/pdf/2512.14980,Sections/4.Discussion.tex:30
2025,Constrained generative models,Constrained generative models: guided generation and correction,zhang2025improving,Improving Diffusion-based Inverse Algorithms under Few-Step Constraint via Linear Extrapolation,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=EGYwfs4XhI,Sections/Part2.tex:156
2025,Constrained generative models,Constrained generative models: guided generation and correction,zhu2025unidb,UniDB: A Unified Diffusion Bridge Framework via Stochastic Optimal Control,arXiv preprint arXiv:2502.05749,https://arxiv.org/pdf/2502.05749,Sections/Part2.tex:160
2025,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,ataei2025mpolice,mPOLICE: Provable Enforcement of Multi-Region Affine Constraints in Deep Neural Networks,arXiv preprint arXiv:2502.02434,https://arxiv.org/pdf/2502.02434,Sections/Part1.tex:111
2025,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,barthakur2025learning,Learning with Statistical Equality Constraints,arXiv preprint arXiv:2511.14320,https://arxiv.org/pdf/2511.14320,Sections/Part1.tex:103
2025,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,boero2025cole,AL-CoLe: Augmented Lagrangian for Constrained Learning,arXiv preprint arXiv:2510.20995,https://arxiv.org/pdf/2510.20995,Sections/Part1.tex:101
2025,Constrained generative models,Constrained generative models: guided generation and correction,cardei2025constrained,Constrained discrete diffusion,arXiv preprint arXiv:2503.09790,https://arxiv.org/pdf/2503.09790,Sections/Part2.tex:174
2025,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,chung2025provably,Provably-safe neural network training using hybrid zonotope reachability analysis,2025 IEEE 64th Conference on Decision and Control (CDC),,Sections/Part1.tex:111
2025,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,constante2025enforcing,Enforcing Hard Linear Constraints in Deep Learning Models with Decision Rules,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=gjiCml2CNG,Sections/4.Discussion.tex:27
2025,Hard-constrained prediction,Hard-constrained prediction: feasible-set parameterization,deng2025hop,HoP: Homeomorphic Polar Learning for Hard Constrained Optimization,arXiv preprint arXiv:2502.00304,https://arxiv.org/pdf/2502.00304,Sections/Part1.tex:201
2025,Constrained generative models,Constrained generative models: feasible-set parameterization,diederen2025flows,Flows on convex polytopes,arXiv preprint arXiv:2503.10232,https://arxiv.org/pdf/2503.10232,Sections/Part2.tex:152
2025,Hard-constrained prediction,Hard-constrained prediction: penalty/adversarial training,giraud2025neural,Neural Networks for AC Optimal Power Flow: Improving Worst-Case Guarantees during Training,arXiv preprint arXiv:2510.23196,https://arxiv.org/pdf/2510.23196,Sections/Part1.tex:94
2025,Hard-constrained prediction,Hard-constrained prediction: feasible-set parameterization,karalias2025geometric,Geometric Algorithms for Neural Combinatorial Optimization with Constraints,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=EPDLFWyNnF,Sections/Part1.tex:192
2025,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,lastrucci2025enforce,ENFORCE: Nonlinear constrained learning with adaptive-depth neural projection,arXiv preprint arXiv:2502.06774,https://arxiv.org/pdf/2502.06774,Sections/Part1.tex:165
2025,Hard-constrained prediction,Hard-constrained prediction: post-processing and projection,liang2024bis,Efficient Bisection Projection to Ensure Neural-Network Solution Feasibility for Optimization over General Set,Proceedings of the Forty-second International Conference on Machine Learning,,Sections/Part1.tex:127
2025,Hard-constrained prediction,Hard-constrained prediction: feasible-set parameterization,liu2025fast,Fast Projection-Free Approach (without Optimization Oracle) for Optimization over Compact Convex Set,The Thirty-ninth Annual Conference on Neural Information Processing Systems,,Sections/Part1.tex:201
2025,Hard-constrained prediction,Hard-constrained prediction: decision-focused feasibility,mandi2026feasibilityaware,Feasibility-Aware Decision-Focused Learning for Predicting Parameters in the Constraints,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=eTmvwxohRx,Sections/3.Application.tex:17
2025,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,manolache2025learning,Learning (approximately) equivariant networks via constrained optimization,arXiv preprint arXiv:2505.13631,https://arxiv.org/pdf/2505.13631,Sections/Part1.tex:101
2025,Constrained generative models,Constrained generative models: guided generation and correction,naderiparizi2025constrained,Constrained generative modeling with manually bridged diffusion models,Proceedings of the AAAI Conference on Artificial Intelligence,,Sections/Part2.tex:174
2025,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,nguyen2025fsnet,FSNet: Feasibility-Seeking Neural Network for Constrained Optimization with Guarantees,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=oum1txoy1D,Sections/Part1.tex:165
2025,Hard-constrained prediction,Hard-constrained prediction: learned constraints and feasibility guarantees,ovalle2026conformal,Conformal Mixed-Integer Constraint Learning with Feasibility Guarantees,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=ZvUZvT8tgg,Sections/3.Application.tex:17
2025,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,owerko2025learning,Learning Optimal Power Flow with Pointwise Constraints,arXiv preprint arXiv:2510.20777,https://arxiv.org/pdf/2510.20777,Sections/Part1.tex:101
2025,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,rashwan2025enforcing,Enforcing convex constraints in Graph Neural Networks,arXiv preprint arXiv:2510.11227,https://arxiv.org/pdf/2510.11227,Sections/Part1.tex:165
2025,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,tao2025provable,Provable Gradient Editing of Deep Neural Networks,The Thirty-ninth Annual Conference on Neural Information Processing Systems,,Sections/Part1.tex:113
2025,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,utkarsh2025end,End-to-end probabilistic framework for learning with hard constraints,arXiv preprint arXiv:2506.07003,https://arxiv.org/pdf/2506.07003,Sections/Part1.tex:165
2025,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,wu2025constraint,Constraint boundary wandering framework: Enhancing constrained optimization with deep neural networks,IEEE Transactions on Pattern Analysis and Machine Intelligence,,Sections/Part1.tex:165
2025,Application methods,Applications: trajectory optimization and safe control,yang2025uniconflow,UniConFlow: A Unified Constrained Flow-Matching Framework for Certified Motion Planning,arXiv preprint arXiv:2506.02955,https://arxiv.org/pdf/2506.02955,Sections/3.Application.tex:29
2025,Constrained generative models,Constrained generative models: guided generation and correction,zampini2025trainingfree,Training-Free Constrained Generation With Stable Diffusion Models,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=TrNB08KuHK,Sections/Part2.tex:174
2025,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,zhang2025alignment,Alignment of large language models with constrained learning,arXiv preprint arXiv:2505.19387,https://arxiv.org/pdf/2505.19387,Sections/Part1.tex:101
2025,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,zhu2025t,T-SKM-Net: Trainable Neural Network Framework for Linear Constraint Satisfaction via Sampling Kaczmarz-Motzkin Method,arXiv preprint arXiv:2512.10461,https://arxiv.org/pdf/2512.10461,Sections/Part1.tex:165
2026,Application methods,"Applications: molecule, material, and protein generation",chen2026physically,Physically Valid Biomolecular Interaction Modeling with Gauss-Seidel Projection,The Fourteenth International Conference on Learning Representations,https://openreview.net/forum?id=sJABnBEYeh,Sections/3.Application.tex:53
2026,Application methods,Applications: optimal power flow and power systems,chen2026hardconstrained,A hard-constrained NN learning framework for rapidly restoring AC-OPF from DC-OPF,arXiv preprint arXiv:2602.06255,https://arxiv.org/pdf/2602.06255,Sections/4.Discussion.tex:31
2026,Application methods,Applications: combinatorial optimization and exact solvers,chen2026maxcut,Solving Max-Cut to Global Optimality via Feasibility-Preserving Graph Neural Networks,arXiv preprint arXiv:2605.07113,https://arxiv.org/pdf/2605.07113,Sections/4.Discussion.tex:31
2026,Application methods,Applications: trajectory optimization and manipulation,li2026momagen,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,The Fourteenth International Conference on Learning Representations,https://openreview.net/forum?id=bGPDviEtZ1,Sections/3.Application.tex:35
2026,Application methods,Applications: trajectory optimization and safe control,liang2025discrete,Discrete-guided diffusion for scalable and safe multi-robot motion planning,Proceedings of the AAAI Conference on Artificial Intelligence,https://ojs.aaai.org/index.php/AAAI/article/download/39512/43473,Sections/3.Application.tex:27
2026,Application methods,Applications: trajectory optimization and safe control,liu2025guideflow,GuideFlow: Constraint-guided flow matching for planning in end-to-end autonomous driving,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_GuideFlow_Constraint-Guided_Flow_Matching_for_Planning_in_End-to-End_Autonomous_Driving_CVPR_2026_paper.pdf,Sections/3.Application.tex:27
2026,Application methods,"Applications: molecule, material, and protein generation",cui2026constrained,Constrained Diffusion for Accelerated Structure Relaxation of Inorganic Solids with Point Defects,NeurIPS 2025 AI4Mat Workshop,https://arxiv.org/pdf/2602.19153,Sections/3.Application.tex:41
2026,Constrained generative models,Constrained generative models: guided generation and correction,gao2026terminally,Terminally constrained flow-based generative models from an optimal control perspective,arXiv preprint arXiv:2601.09474,https://arxiv.org/pdf/2601.09474,Sections/4.Discussion.tex:30
2026,Constrained generative models,Constrained generative models: guided generation and correction,kim2026fastdips,FAST-DIPS: Adjoint-Free Analytic Steps and Hard-Constrained Likelihood Correction for Diffusion-Prior Inverse Problems,The Fourteenth International Conference on Learning Representations,https://openreview.net/forum?id=voMeZVAkKL,Sections/Part2.tex:109
2026,Constrained generative models,Constrained generative models: guided generation and correction,yang2026safeflowmatcher,SafeFlowMatcher: Safe and Fast Planning Using Flow Matching with Control Barrier Functions,The Fourteenth International Conference on Learning Representations,https://openreview.net/forum?id=refcXHU1Nh,Sections/Part2.tex:120
2026,Constrained generative models,Constrained generative models: reflected or constrained-domain sampling,jeon2026efficient,Efficient Diffusion Models under Nonconvex Equality and Inequality Constraints via Landing,Proceedings of the 43rd International Conference on Machine Learning,https://arxiv.org/pdf/2604.17838,Sections/Part2.tex:124
2026,Constrained generative models,Constrained generative models: training and fine-tuning,christopher2026constraintaware,Constraint-Aware Flow Matching: Decision Aligned End-to-End Training for Constrained Sampling,arXiv preprint arXiv:2605.12754,https://arxiv.org/pdf/2605.12754,Sections/Part2.tex:130
2026,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,chu2026snarenet,SnareNet: Flexible Repair Layers for Neural Networks with Hard Constraints,arXiv preprint arXiv:2602.09317,https://arxiv.org/pdf/2602.09317,Sections/Part1.tex:170
2026,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,cao2026scpo,Constrained Policy Optimization via Sampling-Based Weight-Space Projection,arXiv preprint arXiv:2512.13788,https://arxiv.org/pdf/2512.13788,Sections/4.Discussion.tex:8
2026,Hard-constrained prediction,Hard-constrained prediction: post-processing and projection,chzhen2026improving,Improving Feasibility via Fast Autoencoder-Based Projections,The Fourteenth International Conference on Learning Representations,https://openreview.net/forum?id=dVlkUtsyg7,Sections/Part1.tex:127
2026,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,goertzen2026hardnetpp,HardNet++: Nonlinear Constraint Enforcement in Neural Networks,arXiv preprint arXiv:2604.19669,https://arxiv.org/pdf/2604.19669,Sections/4.Discussion.tex:8
2026,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,grontas2025pinet,Pinet: Optimizing hard-constrained neural networks with orthogonal projection layers,The Fourteenth International Conference on Learning Representations,https://openreview.net/forum?id=EJ680UQeZG,Sections/Part1.tex:165
2026,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,hadou2026unrolled,Unrolled Neural Networks for Constrained Optimization,arXiv preprint arXiv:2601.17274,https://arxiv.org/pdf/2601.17274,Sections/Part1.tex:105
2026,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,oshin2026deep,Deep FlexQP: Accelerated Nonlinear Programming via Deep Unfolding,The Fourteenth International Conference on Learning Representations,https://openreview.net/forum?id=HL3TvE4Afm,Sections/Part1.tex:135
2026,Constrained generative models,Constrained generative models: feasible-set parameterization,roos2026categorical,Categorical Flow Maps,arXiv preprint arXiv:2602.12233,https://arxiv.org/pdf/2602.12233,Sections/Part2.tex:152
2026,Hard-constrained prediction,Hard-constrained prediction: feasible-set parameterization,schneider2026soft,Soft-Radial Projection for Constrained End-to-End Learning,arXiv preprint arXiv:2602.03461,https://arxiv.org/pdf/2602.03461,Sections/Part1.tex:229
2026,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,tang2026lminet,LMI-Net: Linear Matrix Inequality-Constrained Neural Networks via Differentiable Projection Layers,arXiv preprint arXiv:2604.05374,https://arxiv.org/pdf/2604.05374,Sections/4.Discussion.tex:8
2026,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,yang2026breaking,Breaking Safety Paradox with Feasible Dual Policy Iteration,The Fourteenth International Conference on Learning Representations,https://openreview.net/forum?id=BHSSV1nHvU,Sections/Part1.tex:72
2026,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,zhao2026caffnet,CAffNet: Hard Constraint-Affine Neural Networks,arXiv preprint arXiv:2605.24437,https://arxiv.org/pdf/2605.24437,Sections/Part1.tex:192
